date,description,actual_state,close,forecast
2018-03-05,chinese-caixin-services-pmi-596,54.7,54.2,54.3
2018-02-05,chinese-caixin-services-pmi-596,53.9,54.7,53.6
2018-01-04,chinese-caixin-services-pmi-596,51.9,53.9,51.8
2017-12-05,chinese-caixin-services-pmi-596,51.2,51.9,51.5
2017-11-03,chinese-caixin-services-pmi-596,50.6,51.2,50.8
2017-10-09,chinese-caixin-services-pmi-596,52.7,50.6,53.1
2017-09-05,chinese-caixin-services-pmi-596,51.5,52.7,51.8
2017-08-03,chinese-caixin-services-pmi-596,51.6,51.5,51.9
2017-07-05,chinese-caixin-services-pmi-596,52.8,51.6,52.9
2017-06-05,chinese-caixin-services-pmi-596,51.5,52.8,
2017-05-04,chinese-caixin-services-pmi-596,52.2,51.5,52.6
2017-04-06,chinese-caixin-services-pmi-596,52.6,52.2,53.2
2017-03-03,chinese-caixin-services-pmi-596,53.1,52.6,53.3
2017-02-06,chinese-caixin-services-pmi-596,53.4,53.1,53.6
2017-01-05,chinese-caixin-services-pmi-596,53.1,53.4,53.3
2016-12-05,chinese-caixin-services-pmi-596,52.4,53.1,52.7
2016-11-03,chinese-caixin-services-pmi-596,52.0,52.4,52.5
2016-10-08,chinese-caixin-services-pmi-596,52.1,52.0,
2016-09-05,chinese-caixin-services-pmi-596,51.7,52.1,
2016-08-03,chinese-caixin-services-pmi-596,52.7,51.7,52.9
2016-07-05,chinese-caixin-services-pmi-596,51.2,52.7,52.3
2016-06-03,chinese-caixin-services-pmi-596,51.8,51.2,
2016-05-05,chinese-caixin-services-pmi-596,52.2,51.8,52.6
2016-04-06,chinese-caixin-services-pmi-596,51.2,52.2,51.4
2016-03-03,chinese-caixin-services-pmi-596,52.4,51.2,52.6
2016-02-03,chinese-caixin-services-pmi-596,50.2,52.4,51.2
2016-01-06,chinese-caixin-services-pmi-596,51.2,50.2,
2015-12-03,chinese-caixin-services-pmi-596,52.0,51.2,
2015-11-04,chinese-caixin-services-pmi-596,50.5,52.0,
2015-10-01,chinese-caixin-services-pmi-596,51.50,50.50,
